iter	Passed	Remaining
411	3387	4834
412	3391	4820
413	3402	4815
414	3406	4802
415	3417	4797
416	3421	4783
417	3431	4777
418	3436	4765
419	3441	4752
420	3451	4746
421	3455	4733
422	3467	4729
423	3471	4716
424	3483	4712
425	3487	4699
426	3498	4694
427	3502	4681
428	3508	4670
429	3517	4662
430	3521	4649
431	3532	4644
432	3536	4630
433	3545	4623
434	3550	4612
435	3555	4599
436	3565	4593
437	3569	4580
438	3580	4575
439	3585	4563
440	3595	4558
441	3600	4545
442	3611	4540
443	3615	4527
444	3620	4515
445	3628	4507
446	3632	4494
447	3643	4489
448	3648	4476
449	3656	4469
450	3663	4458
451	3667	4446
452	3677	4440
453	3681	4427
454	3692	4422
455	3697	4410
456	3708	4406
457	3712	4393
458	3718	4382
459	3726	4375
460	3731	4362
461	3742	4358
462	3747	4346
463	3758	4341
464	3763	4329
465	3773	4324
466	3777	4311
467	3784	4301
468	3792	4294
469	3797	4282
470	3808	4277
471	3812	4264
472	3823	4259
473	3827	4247
474	3836	4240
475	3842	4230
476	3849	4220
477	3857	4212
478	3862	4200
479	3873	4195
480	3877	4183
481	3887	4178
482	3891	4165
483	3896	4154
484	3905	4147
485	3909	4135
486	3920	4129
487	3924	4117
488	3934	4111
489	3940	4101
490	3949	4094
491	3955	4084
492	3963	4075
493	3970	4066
494	3974	4055
495	3985	4049
496	3989	4037
497	3998	4030
498	4004	4020
499	4008	4008
500	4018	4002
501	4023	3991
502	4034	3985
503	4038	3974
504	4050	3969
505	4055	3958
506	4063	3951
507	4068	3940
508	4074	3930
509	4083	3923
510	4088	3912
511	4098	3906
512	4103	3895
513	4112	3888
514	4118	3878
515	4123	3867
516	4133	3861
517	4138	3850
518	4148	3844
519	4152	3833
520	4163	3827
521	4167	3816
522	4173	3806
523	4183	3800
524	4188	3789
525	4198	3783
526	4202	3772
527	4214	3767
528	4218	3755
529	4229	3750
530	4233	3739
531	4242	3732
532	4248	3722
533	4252	3711
534	4263	3705
535	4267	3694
536	4278	3688
537	4282	3677
538	4292	3671
539	4297	3660
540	4303	3651
541	4312	3643
542	4316	3633
543	4327	3627
544	4331	3616
545	4341	3610
546	4346	3599
547	4350	3588
548	4360	3582
549	4366	3572
550	4378	3567
551	4383	3557
552	4400	3557
553	4419	3558
554	4435	3556
555	4465	3565
556	4479	3563
557	4492	3558
558	4524	3569
559	4544	3570
560	4572	3578
561	4603	3588
562	4614	3581
563	4642	3588
564	4706	3623
565	4716	3616
566	4740	3619
567	4761	3621
568	4776	3617
569	4818	3634
570	4836	3634
571	4850	3629
572	4857	3620
573	4872	3616
574	4885	3610
575	4894	3603
576	4911	3600
577	4920	3592
578	4943	3594
579	4957	3589
580	4988	3597
581	5027	3611
582	5038	3603
583	5053	3599
584	5069	3596
585	5083	3591
586	5087	3579
587	5107	3578
588	5120	3572
589	5134	3568
590	5149	3563
591	5157	3554
592	5167	3546
593	5182	3542
594	5190	3533
595	5205	3528
596	5219	3523
597	5231	3516
598	5246	3512
599	5252	3501
600	5267	3497
601	5283	3493
602	5301	3490
603	5316	3485
604	5326	3477
605	5332	3467
606	5343	3459
607	5350	3449
608	5365	3444
609	5378	3438
610	5383	3427
611	5397	3422
612	5409	3415
613	5421	3408
614	5428	3398
615	5435	3388
616	5461	3390
617	5473	3383
618	5480	3373
619	5491	3365
620	5496	3354
621	5508	3347
622	5512	3335
623	5524	3328
624	5529	3317
625	5539	3309
626	5544	3298
627	5550	3287
628	5560	3279
629	5564	3268
630	5573	3259
631	5580	3249
632	5592	3242
633	5599	3232
634	5608	3223
635	5614	3213
636	5624	3205
637	5628	3193
638	5636	3184
639	5641	3173
640	5649	3163
641	5658	3155
642	5667	3146
643	5673	3136
644	5677	3124
645	5687	3116
646	5691	3105
647	5701	3097
648	5706	3086
649	5713	3076
650	5721	3067
651	5725	3056
652	5736	3048
653	5741	3037
654	5752	3029
655	5756	3018
656	5768	3011
657	5772	3000
658	5781	2991
659	5787	2981
660	5791	2970
661	5802	2962
662	5806	2951
663	5817	2943
664	5821	2932
665	5833	2925
666	5837	2914
667	5842	2903
668	5851	2894
669	5855	2884
670	5865	2875
671	5870	2865
672	5876	2855
673	5885	2846
674	5889	2835
675	5899	2827
676	5904	2817
677	5911	2807
678	5918	2797
679	5924	2787
680	5934	2779
681	5939	2769
682	5949	2761
683	5953	2750
684	5965	2743
685	5969	2732
686	5985	2727
687	6001	2721
688	6013	2714
689	6019	2704
690	6033	2698
691	6043	2689
692	6050	2680
693	6062	2673
694	6070	2663
695	6097	2663
696	6103	2653
697	6115	2645
698	6121	2636
699	6130	2627
700	6134	2616
701	6145	2608
702	6149	2598
703	6159	2589
704	6163	2579
705	6168	2568
706	6178	2560
707	6183	2550
708	6195	2542
709	6200	2532
710	6211	2524
711	6215	2513
712	6224	2505
713	6229	2495
714	6240	2487
715	6247	2478
716	6258	2470
717	6265	2460
718	6277	2453
719	6290	2446
720	6295	2436
721	6308	2428
722	6315	2419
723	6341	2417
724	6347	2407
725	6357	2399
726	6367	2390
727	6374	2381
728	6379	2371
729	6389	2363
730	6393	2352
731	6404	2344
732	6408	2334
733	6419	2326
734	6425	2316
735	6436	2308
736	6441	2298
737	6452	2290
738	6457	2280
739	6470	2273
740	6479	2264
741	6486	2255
742	6490	2244
743	6501	2237
744	6506	2226
745	6519	2219
746	6523	2209
747	6534	2201
748	6538	2191
749	6550	2183
750	6556	2173
751	6566	2165
752	6571	2155
753	6581	2147
754	6586	2137
755	6595	2128
756	6600	2118
757	6605	2108
758	6613	2100
759	6618	2090
760	6627	2081
761	6633	2071
762	6638	2061
763	6648	2053
764	6652	2043
765	6663	2035
766	6668	2025
767	6674	2016
768	6682	2007
769	6688	1997
770	6697	1989
771	6701	1979
772	6712	1971
773	6716	1961
774	6727	1953
775	6731	1943
776	6735	1933
777	6746	1924
778	6750	1915
779	6760	1906
780	6765	1897
781	6773	1888
782	6780	1879
783	6785	1869
784	6795	1861
785	6801	1851
786	6810	1843
787	6814	1833
788	6825	1825
789	6830	1815
790	6839	1807
791	6845	1797
792	6850	1788
793	6859	1779
794	6864	1770
795	6875	1762
796	6879	1752
797	6887	1743
798	6893	1734
799	6897	1724
800	6907	1716
801	6912	1706
802	6923	1698
803	6928	1688
804	6936	1680
805	6942	1670
806	6946	1661
807	6957	1653
808	6961	1643
809	6970	1635
810	6977	1625
811	6990	1618
812	6994	1608
813	7005	1600
814	7010	1591
815	7022	1583
816	7025	1573
817	7037	1565
818	7041	1556
819	7052	1548
820	7056	1538
821	7062	1529
822	7071	1520
823	7075	1511
824	7086	1503
825	7090	1493
826	7101	1485
827	7105	1476
828	7111	1466
829	7120	1458
830	7124	1448
831	7134	1440
832	7139	1431
833	7146	1422
834	7153	1413
835	7158	1404
836	7167	1395
837	7172	1386
838	7180	1377
839	7187	1368
840	7191	1359
841	7201	1351
842	7205	1342
843	7216	1333
844	7220	1324
845	7226	1315
846	7234	1306
847	7238	1297
848	7249	1289
849	7253	1280
850	7263	1271
851	7271	1263
852	7282	1255
853	7286	1245
854	7298	1237
855	7302	1228
856	7313	1220
857	7318	1211
858	7330	1203
859	7335	1194
860	7346	1185
861	7350	1176
862	7363	1168
863	7368	1159
864	7377	1151
865	7382	1142
866	7386	1133
867	7397	1124
868	7401	1115
869	7412	1107
870	7416	1098
