iter	Logloss
0	0.6622361827
1	0.6342778203
2	0.6116204949
3	0.5909672223
4	0.5719060903
5	0.554268126
6	0.5409203585
7	0.529582729
8	0.5195643939
9	0.5113769498
10	0.5031523089
11	0.4968493519
12	0.4916855417
13	0.4863692999
14	0.4819165954
15	0.4776977594
16	0.4736558711
17	0.4708589763
18	0.4680642589
19	0.4653479992
20	0.4633830253
21	0.4615300974
22	0.4595493761
23	0.4577171776
24	0.4558693609
25	0.4546150455
26	0.4529060955
27	0.4518876096
28	0.4506324279
29	0.4496422627
30	0.4488987133
31	0.448272953
32	0.4476231084
33	0.4470490159
34	0.4463981989
35	0.4458305651
36	0.4452259742
37	0.4449651348
38	0.4445113605
39	0.4439712592
40	0.4433890321
41	0.4431823456
42	0.4429934229
43	0.4426034499
44	0.4424014525
45	0.4421210309
46	0.4418430685
47	0.4416010414
48	0.4414537399
49	0.4413420791
50	0.4410425951
51	0.4408184044
52	0.4407144366
53	0.4405627152
54	0.4404335339
55	0.440302163
56	0.4401396238
57	0.4400529118
58	0.4399871598
59	0.4398118549
60	0.4396665239
61	0.4395304086
62	0.4394193033
63	0.4393827923
64	0.4392486593
65	0.4392057228
66	0.4391718712
67	0.4391240884
68	0.4390048479
69	0.4389709645
70	0.4388595517
71	0.4387487165
72	0.4386059824
73	0.4385346912
74	0.4384961188
75	0.4384597699
76	0.438362348
77	0.4382530275
78	0.4382237796
79	0.438170785
80	0.4381040298
81	0.4380199281
82	0.4379017923
83	0.4377587001
84	0.4377131867
85	0.437651859
86	0.4376171103
87	0.4375980109
88	0.4375491524
89	0.4374523083
90	0.4374230449
91	0.4373903005
92	0.4373684423
93	0.4373317088
94	0.4372845657
95	0.4372573243
96	0.4372299527
97	0.4371589905
98	0.4371368313
99	0.4370915521
100	0.4370821459
101	0.4370323308
102	0.4369872083
103	0.436925399
104	0.4368730577
105	0.436862888
106	0.4368418663
107	0.436812673
108	0.4368032211
109	0.4367870319
110	0.436759766
111	0.4367299431
112	0.4366869281
113	0.436664047
114	0.4366469113
115	0.4366324982
116	0.4365964512
117	0.4365406465
118	0.4365087424
119	0.4364929846
120	0.4364796561
121	0.4364442882
122	0.4364269512
123	0.4363718178
124	0.4363405506
125	0.4363155987
126	0.4362865337
127	0.436267902
128	0.436249389
129	0.4362028078
130	0.4361875557
131	0.4361657052
132	0.4361388126
133	0.4361284277
134	0.4361102263
135	0.4360935565
136	0.4360784267
137	0.4360571085
138	0.4360538358
139	0.4360468877
140	0.4360265371
141	0.4360088226
142	0.4359940712
143	0.435987526
144	0.4359797408
145	0.4359497989
146	0.4359290785
147	0.4359252698
148	0.4359148513
149	0.4359035636
150	0.4358916511
151	0.4358742784
152	0.43585133
153	0.4358408946
154	0.435828612
155	0.4358092491
156	0.4357999072
157	0.4357943369
158	0.4357918643
159	0.4357789726
160	0.4357586125
161	0.4357496025
162	0.4357349085
163	0.4357156967
164	0.4357033506
165	0.4356909689
166	0.4356757904
167	0.4356613077
168	0.435647832
169	0.4356438777
170	0.4356372506
171	0.435628653
172	0.4356171436
173	0.4355991975
174	0.4355949832
175	0.4355746415
176	0.4355645204
177	0.4355530562
178	0.4355450262
179	0.4355410292
180	0.4355300669
181	0.4355203133
182	0.4355134058
183	0.4354889396
184	0.4354762349
185	0.4354527355
186	0.435437973
187	0.4354309967
188	0.4354112554
189	0.4354040113
190	0.4354002755
191	0.4353816105
192	0.4353701969
193	0.4353632038
194	0.4353455246
195	0.4353280068
196	0.4353185567
197	0.4353112524
198	0.4352813815
199	0.4352738962
200	0.4352565943
201	0.4352350974
202	0.435219829
203	0.4352144884
204	0.4352021065
205	0.4351985893
206	0.4351928643
207	0.4351925383
208	0.4351680744
209	0.4351674294
210	0.4351503704
211	0.4351364054
212	0.4351163988
213	0.4351074064
214	0.4350944052
215	0.4350790025
216	0.4350714592
217	0.4350615948
218	0.4350495181
219	0.4350300617
220	0.435022117
221	0.4350028041
222	0.4349878443
223	0.4349742819
224	0.4349646594
225	0.43495016
226	0.4349376959
227	0.4349283357
228	0.4349104261
229	0.4348986898
230	0.434889797
231	0.4348812422
232	0.4348652933
233	0.4348472987
234	0.4348401124
235	0.4348243373
236	0.4348096658
237	0.434787223
238	0.434765319
239	0.4347559644
240	0.4347376162
241	0.4347201924
242	0.434707042
243	0.434699041
244	0.4346878295
245	0.4346783847
246	0.434662431
247	0.4346500733
248	0.4346401815
249	0.4346274849
250	0.4346173555
251	0.4346066372
252	0.4345959658
253	0.434585236
254	0.4345684518
255	0.4345556419
256	0.4345361183
257	0.4345265153
258	0.4345206711
259	0.4345044006
260	0.4344888325
261	0.4344727544
262	0.4344461023
263	0.4344308929
264	0.4344212098
265	0.4344142143
266	0.4344072463
267	0.4343989608
268	0.4343840527
269	0.4343683907
270	0.4343536349
271	0.4343399846
272	0.4343295102
273	0.4343153665
274	0.4343031028
275	0.4342935497
276	0.4342821405
277	0.434270903
278	0.4342645079
279	0.43425426
280	0.4342457895
281	0.434238839
282	0.4342324381
283	0.4342211032
284	0.4342102582
285	0.4341958235
286	0.434187336
287	0.4341788051
288	0.4341659217
289	0.434155134
290	0.4341449825
291	0.4341386969
292	0.4341283917
293	0.4341208495
294	0.4341114232
295	0.4341006894
296	0.4340907551
297	0.4340781271
298	0.4340675849
299	0.4340622349
300	0.4340553956
301	0.4340456563
302	0.4340362923
303	0.4340265961
304	0.4340143763
305	0.4339960585
306	0.4339864573
307	0.4339810292
308	0.4339691918
309	0.43395968
310	0.433948607
311	0.4339379764
312	0.4339287303
313	0.4339187458
314	0.4339081869
315	0.4338905702
316	0.4338829241
317	0.4338740477
318	0.4338590967
319	0.4338493909
320	0.4338395223
321	0.4338322528
322	0.4338098378
323	0.4338012663
324	0.4337806898
325	0.4337699225
326	0.4337619311
327	0.4337558565
328	0.4337363466
329	0.4337289005
330	0.4337144218
331	0.4337059162
332	0.4336959946
333	0.4336894355
334	0.4336840194
335	0.4336774997
336	0.433656038
337	0.4336479348
338	0.4336410656
339	0.4336298352
340	0.4336256308
341	0.4336145241
342	0.4336017553
343	0.4335974378
344	0.4335902111
345	0.4335772311
346	0.4335674606
347	0.4335624834
348	0.4335539089
349	0.4335451977
350	0.4335373028
351	0.4335289715
352	0.4335213988
353	0.4335110376
354	0.4334974272
355	0.4334926163
356	0.4334857461
357	0.4334818484
358	0.4334744525
359	0.433464797
360	0.4334548801
361	0.4334497029
362	0.4334459291
363	0.4334362018
364	0.4334259965
365	0.4334183584
366	0.4334105547
367	0.4334038161
368	0.4333908061
369	0.4333840999
370	0.4333666803
371	0.433359287
372	0.4333451054
373	0.4333352647
374	0.4333302379
375	0.4333223556
376	0.4333116905
377	0.4333076316
378	0.4333000853
379	0.4332920046
380	0.4332813845
381	0.4332682702
382	0.433262294
383	0.4332555788
384	0.4332443428
385	0.4332380956
386	0.4332340027
387	0.4332248102
388	0.433217042
389	0.4332031583
390	0.4331901285
391	0.4331847928
392	0.4331778543
393	0.4331683451
394	0.433156454
395	0.4331517941
396	0.433139224
397	0.4331349588
398	0.4331234993
399	0.4331087186
400	0.4330957163
401	0.4330806195
402	0.4330720758
403	0.433060078
404	0.4330565327
405	0.4330498342
406	0.4330438114
407	0.4330399122
408	0.4330327818
409	0.4330210071
410	0.4330137079
411	0.4330053788
412	0.4329856376
413	0.4329825646
414	0.432976955
415	0.4329638629
416	0.4329570922
417	0.4329505273
418	0.432939734
419	0.4329294022
420	0.4329234259
421	0.4329165519
422	0.4329104538
423	0.4329023669
424	0.432895666
425	0.4328905939
426	0.4328843947
427	0.4328764093
428	0.4328730435
429	0.4328588597
430	0.4328480688
431	0.4328374369
432	0.4328309738
433	0.432819417
434	0.432816231
435	0.4328086692
436	0.4328014717
437	0.4327987129
438	0.4327909938
439	0.4327742752
440	0.4327662431
441	0.432759444
442	0.4327473609
443	0.432740141
444	0.4327291435
445	0.4327240574
446	0.4327172296
447	0.4327107173
448	0.432703009
449	0.4326948494
450	0.4326874628
451	0.4326818201
452	0.4326765324
453	0.4326735665
454	0.4326712058
455	0.4326652836
456	0.432657756
457	0.4326483296
458	0.432643055
459	0.4326348513
460	0.4326236914
461	0.4326195484
462	0.4326144604
463	0.4325977749
464	0.4325914764
465	0.4325864099
466	0.4325774676
467	0.4325720248
468	0.4325598888
469	0.4325544016
470	0.4325398261
471	0.432533809
472	0.4325263337
473	0.4325232179
474	0.4325154903
475	0.4325007783
476	0.4324935329
477	0.4324808164
478	0.432474741
479	0.4324658425
480	0.4324586998
481	0.4324546007
482	0.4324491561
483	0.4324434038
484	0.4324390189
